"""Mission success! Homebound and over the moon.""",5
"""Interstellar satisfaction! Sent off with a cosmic grin.""",5
"""Whoosh! Sailed through the stars, beaming with alien pride.""",5
"""Interstellar satisfaction! Sent off with a cosmic grin.""",5
"""Alien happiness! Departing with a heart full of celestial glee.""",4
"""Oh, the ecstasy! My spaceship knows the way home. Miraculous.""",4
"""Astonishing. I'm going home. Be still, my beating heart.""",4
"""Oh, joy! Another space odyssey comes to an end.""",4
"""I can't contain my excitement. Going back to... more space.""",3
"""What a surprise! I'm off to my mundane alien habitat. Ecstatic.""",3
"""Stop the presses! I'm headed back to the excitement of... nothing.""",3
"""Hold me back, I can't handle the thrill of going... nowhere new.""",3
"""Thanks for the detour! Who needs to reach their home planet anyway?""",2
"""My spaceship and I are eternally grateful for getting stranded in the cosmic abyss.""",2
"""I'd like to thank you for the delightful tour of nowhere. Truly an unforgettable experience.""",2
"""Congratulations on leading me astray. Getting lost in space was the highlight of my day.""",2
"""Kudos on achieving the impossible: losing an alien in the vastness of space. Well done!""",1
"""Lost in space... Literally. Thanks for the cosmic maze, I guess?""",1
"""Lost and bewildered. Your navigation skills are truly out of this world.""",1
"""Mission failed! Your stellar incompetence ensured I'll never see home again.""",1